movieId,title,release_date,genres
93,Liar Liar (1997),01-Jan-1998,Comedy
94,Grosse Pointe Blank (1997),01-Jan-1992,Animation|Film-Noir
95,Austin Powers: International Man of Mystery (1997),01-Jan-1991,Comedy
96,Air Force One (1997),01-Jan-1998,Comedy
97,The Fifth Element (1997),01-Jan-1998,Animation|Mystery
98,The Lost World: Jurassic Park (1997),01-Jan-1994,Adventure|Drama|Romance
99,Men in Black (1997),01-Jan-1993,Romance
100,Contact (1997),01-Jan-1991,Sci-Fi|Thriller
101,Conspiracy Theory (1997),01-Jan-1997,Adventure|Crime|Film-Noir
102,L.A. Confidential (1997),01-Jan-1991,Comedy
103,Donnie Brasco (1997),01-Jan-1990,Crime|Drama|Thriller
104,Boogie Nights (1997),01-Jan-1992,Musical|War
105,Good Will Hunting (1997),01-Jan-1998,Crime|Fantasy|Musical
106,Titanic (1997),01-Jan-1992,Drama|War
107,As Good as It Gets (1997),01-Jan-1994,Action|Children|Horror
108,"Full Monty, The (1997)",01-Jan-1996,Animation|War
109,Amistad (1997),01-Jan-1994,Drama|War
110,Deconstructing Harry (1997),01-Jan-1991,Sci-Fi|War
111,Jackie Brown (1997),01-Jan-1995,Thriller
112,The Game (1997),01-Jan-1992,Crime|Fantasy
113,Cube (1997),01-Jan-1991,Action|Children|Drama
114,Gattaca (1997),01-Jan-1990,Sci-Fi|Thriller
115,Event Horizon (1997),01-Jan-1990,Horror|Sci-Fi|Thriller
116,Starship Troopers (1997),01-Jan-1993,Thriller
117,Alien Resurrection (1997),01-Jan-1995,Comedy|Crime
118,Volcano (1997),01-Jan-1990,Sci-Fi|Thriller
119,Dante's Peak (1997),01-Jan-1998,Drama|Horror|Romance
120,Anaconda (1997),01-Jan-1993,Fantasy|Horror
121,Mortal Kombat: Annihilation (1997),01-Jan-1991,Adventure|Children|Musical
122,Batman & Robin (1997),01-Jan-1992,War
123,The Saint (1997),01-Jan-1990,Animation|Sci-Fi
124,Face/Off (1997),01-Jan-1994,Animation|Horror
125,Con Air (1997),01-Jan-1998,Action|Musical
126,Speed 2: Cruise Control (1997),01-Jan-1993,Drama|Film-Noir
127,Flubber (1997),01-Jan-1997,Comedy
128,George of the Jungle (1997),01-Jan-1995,Comedy
129,Jungle 2 Jungle (1997),01-Jan-1997,Western
130,My Fellow Americans (1996),01-Jan-1993,Action
131,The Preacher's Wife (1996),01-Jan-1996,Drama
132,Phenomenon (1996),01-Jan-1998,Action|Horror
133,Bulletproof Monk (2003),01-Jan-1990,Children|Film-Noir|Mystery
134,Shanghai Knights (2003),01-Jan-1993,Drama|Romance|Thriller
135,Daredevil (2003),01-Jan-1990,Fantasy
136,Chicago (2002),01-Jan-1991,Drama
137,Gangs of New York (2002),01-Jan-1998,Musical|Sci-Fi
138,The Pianist (2002),01-Jan-1991,Drama|War
139,Adaptation (2002),01-Jan-1991,Animation|Comedy|Mystery
140,About Schmidt (2002),01-Jan-1990,Comedy|Drama
141,Punch-Drunk Love (2002),01-Jan-1994,Horror|Mystery
142,Minority Report (2002),01-Jan-1995,Fantasy|Sci-Fi
143,Catch Me If You Can (2002),01-Jan-1993,Documentary
144,Road to Perdition (2002),01-Jan-1992,Children|Comedy|Western
145,Signs (2002),01-Jan-1992,Horror|Sci-Fi
146,Spider-Man (2002),01-Jan-1996,Western
147,The Lord of the Rings: The Two Towers (2002),01-Jan-1995,Sci-Fi
148,Harry Potter and the Chamber of Secrets (2002),01-Jan-1994,Children|Fantasy
149,Die Another Day (2002),01-Jan-1991,Film-Noir
150,8 Mile (2002),01-Jan-1990,Horror
151,Bowling for Columbine (2002),01-Jan-1992,Drama
152,Frida (2002),01-Jan-1995,Adventure|War
153,The Hours (2002),01-Jan-1994,Action|Crime
154,Far from Heaven (2002),01-Jan-1996,Drama|Western
155,Talk to Her (2002),01-Jan-1991,Children|Comedy
156,Spirited Away (2001),01-Jan-1991,Animation|Children|Comedy
157,Amélie (2001),01-Jan-1990,Comedy|Romance
158,Mulholland Drive (2001),01-Jan-1990,Comedy
159,A Beautiful Mind (2001),01-Jan-1993,Animation|Musical
160,Gosford Park (2001),01-Jan-1994,Action
161,Moulin Rouge! (2001),01-Jan-1991,Sci-Fi
162,The Lord of the Rings: The Fellowship of the Ring (2001),01-Jan-1992,Horror
163,Harry Potter and the Sorcerer's Stone (2001),01-Jan-1991,Sci-Fi
164,Shrek (2001),01-Jan-1990,Animation|Children|Comedy
165,Ocean's Eleven (2001),01-Jan-1992,Mystery|Romance|Thriller
166,Training Day (2001),01-Jan-1990,Crime|Romance
167,Black Hawk Down (2001),01-Jan-1995,Crime
168,Memento (2000),01-Jan-1994,Comedy|Sci-Fi
169,Gladiator (2000),01-Jan-1990,Drama|Film-Noir|Thriller
170,Traffic (2000),01-Jan-1996,Adventure|Animation|Thriller
171,Erin Brockovich (2000),01-Jan-1994,Comedy|Romance
172,Almost Famous (2000),01-Jan-1993,Action|Drama|War
173,Crouching Tiger Hidden Dragon (2000),01-Jan-1996,Musical|Thriller|War
174,Cast Away (2000),01-Jan-1995,Horror|Mystery|War
175,The Perfect Storm (2000),01-Jan-1994,Action
176,X-Men (2000),01-Jan-1995,Action|Drama|Fantasy
177,Mission Impossible 2 (2000),01-Jan-1990,Action|Sci-Fi
178,Scary Movie (2000),01-Jan-1997,Crime|Drama|Musical
179,Chicken Run (2000),01-Jan-1991,Animation|Children|Comedy
180,Snatch (2000),01-Jan-1993,Adventure|Drama|Fantasy
181,American Psycho (2000),01-Jan-1993,Crime|Musical|Mystery
182,Requiem for a Dream (2000),01-Jan-1992,Horror
183,Billy Elliot (2000),01-Jan-1995,Action|Comedy|Musical
184,High Fidelity (2000),01-Jan-1993,Film-Noir|Western
185,Chocolat (2000),01-Jan-1992,Comedy|Romance
186,The Matrix (1999),01-Jan-1997,Action|Sci-Fi
187,Fight Club (1999),01-Jan-1990,Adventure
188,American Beauty (1999),01-Jan-1993,Animation|Children|Comedy
189,The Sixth Sense (1999),01-Jan-1993,War
190,Being John Malkovich (1999),01-Jan-1997,Horror
191,Magnolia (1999),01-Jan-1993,Horror
192,Eyes Wide Shut (1999),01-Jan-1992,Action|Adventure
193,Toy Story 2 (1999),01-Jan-1992,Animation|Children|Comedy
194,Star Wars: Episode I (1999),01-Jan-1992,Action|Sci-Fi
195,The Mummy (1999),01-Jan-1991,Animation|Musical|Western
196,Notting Hill (1999),01-Jan-1996,Comedy|Romance
197,Runaway Bride (1999),01-Jan-1991,Film-Noir|Horror
198,The Blair Witch Project (1999),01-Jan-1992,Horror|Thriller
199,Idle Hands (1999),01-Jan-1992,Horror|Thriller
200,Stigmata (1999),01-Jan-1996,Horror|Thriller
201,The Thomas Crown Affair (1999),01-Jan-1997,Crime|Horror|Musical
202,Three Kings (1999),01-Jan-1993,Crime|Film-Noir|Mystery
203,Saving Private Ryan (1998),01-Jan-1994,Drama|War
204,Armageddon (1998),01-Jan-1992,Sci-Fi|Thriller
205,There's Something About Mary (1998),01-Jan-1992,Action|Adventure|Mystery
206,Shakespeare in Love (1998),01-Jan-1992,Children|Drama|Horror
207,Life is Beautiful (La vita e bella) (1998),01-Jan-1997,Horror
208,The Truman Show (1998),01-Jan-1991,Musical
209,Mulan (1998),01-Jan-1995,Animation|Children|Comedy
210,Deep Impact (1998),01-Jan-1992,Sci-Fi|Thriller
211,The Mask of Zorro (1998),01-Jan-1991,Action|Horror|Sci-Fi
212,Rush Hour (1998),01-Jan-1994,Drama
213,Patch Adams (1998),01-Jan-1991,Children|Fantasy
214,City of Angels (1998),01-Jan-1990,Mystery
215,You've Got Mail (1998),01-Jan-1997,Crime|Romance|Western
216,Enemy of the State (1998),01-Jan-1997,Musical|Mystery
217,A Bug's Life (1998),01-Jan-1991,Animation|Children|Comedy
218,Pleasantville (1998),01-Jan-1997,Crime|Drama|Sci-Fi
219,The Negotiator (1998),01-Jan-1991,Film-Noir
220,Snake Eyes (1998),01-Jan-1990,Children|Fantasy
221,Fear and Loathing in Las Vegas (1998),01-Jan-1991,Crime|Mystery
222,The Big Lebowski (1998),01-Jan-1992,Animation|Horror|Western
223,Pi (1998),01-Jan-1997,Sci-Fi|Thriller
224,Dark City (1998),01-Jan-1990,Sci-Fi|Thriller
225,Ronin (1998),01-Jan-1996,Crime|Romance|Western
226,Blade (1998),01-Jan-1990,Horror
227,Lethal Weapon 4 (1998),01-Jan-1993,Romance
228,Wild Things (1998),01-Jan-1998,Fantasy|Film-Noir|Western
229,I Know What You Did Last Summer (1997),01-Jan-1994,Children
230,Wag the Dog (1997),01-Jan-1990,Thriller|Western
231,In & Out (1997),01-Jan-1992,Musical
232,The Devil's Advocate (1997),01-Jan-1990,Animation|Film-Noir
233,Cop Land (1997),01-Jan-1997,Children
234,Lolita (1997),01-Jan-1990,Crime
235,Seven Years in Tibet (1997),01-Jan-1994,Thriller
236,The Peacemaker (1997),01-Jan-1991,Mystery|Thriller
237,Kiss the Girls (1997),01-Jan-1997,Animation|Fantasy|Mystery
238,Romy and Michele's High School Reunion (1997),01-Jan-1992,Musical|Mystery
239,Selena (1997),01-Jan-1992,Adventure|Fantasy
240,Chasing Amy (1997),01-Jan-1997,Drama|Fantasy
241,Ulee's Gold (1997),01-Jan-1994,Adventure|Children|Comedy
242,Mrs. Brown (1997),01-Jan-1991,Drama|Musical|Romance
243,Midnight in the Garden of Good and Evil (1997),01-Jan-1998,Mystery
244,The Apostle (1997),01-Jan-1998,Thriller|Western
245,G.I. Jane (1997),01-Jan-1993,Animation|Film-Noir
246,Trial and Error (1997),01-Jan-1996,Adventure|Comedy|War
247,Picture Perfect (1997),01-Jan-1991,Crime|Western
248,In the Company of Men (1997),01-Jan-1993,Comedy
249,The Locusts (1997),01-Jan-1990,Animation|Romance
250,August (1996),01-Jan-1993,Comedy|Fantasy|Horror
251,Alaska (1996),01-Jan-1991,Mystery
252,Celtic Pride (1996),01-Jan-1998,Horror|Western
253,Jack (1996),01-Jan-1994,Comedy
254,Courage Under Fire (1996),01-Jan-1998,Action|War
255,The Long Kiss Goodnight (1996),01-Jan-1996,Romance
256,Last Man Standing (1996),01-Jan-1992,Children
257,Eye for an Eye (1996),01-Jan-1991,Children|Film-Noir|Musical
258,The Trigger Effect (1996),01-Jan-1996,Mystery|Thriller
259,Multiplicity (1996),01-Jan-1997,Crime
260,Eddie (1996),01-Jan-1994,Comedy|Mystery
261,Tin Cup (1996),01-Jan-1990,Drama|Horror
262,Movie 273: Action Story (1991),01-Jan-1990,Fantasy|Musical|Thriller
263,Movie 274: Thriller Story (1994),01-Jan-1990,Film-Noir|Western
264,Movie 275: Drama Story (1993),01-Jan-1994,Children|Drama
265,Movie 276: Animation Story (1991),01-Jan-1992,Horror|Sci-Fi
266,Movie 277: Documentary Story (1991),01-Jan-1994,Animation|Documentary|Romance
267,Movie 278: Action Story (1996),01-Jan-1997,Romance
268,Movie 279: Comedy Story (1990),01-Jan-1997,Adventure|Crime|Musical
269,Movie 280: Thriller Story (1993),01-Jan-1991,Mystery|War
270,Movie 281: Documentary Story (1998),01-Jan-1992,Action|Crime|Documentary
271,Movie 282: Animation Story (1990),01-Jan-1993,Drama
272,Movie 283: Animation Story (1993),01-Jan-1990,Adventure|Musical
273,Movie 284: Thriller Story (1996),01-Jan-1993,Musical|Sci-Fi
274,Movie 285: Documentary Story (1997),01-Jan-1998,Action|Children
275,Movie 286: Action Story (1994),01-Jan-1993,Sci-Fi|Thriller
276,Movie 287: Horror Story (1992),01-Jan-1992,Horror|Thriller
277,Movie 288: Romance Story (1995),01-Jan-1997,Musical|War|Western
278,Movie 289: Thriller Story (1992),01-Jan-1992,Animation|Film-Noir
279,Movie 290: Comedy Story (1995),01-Jan-1990,Adventure|Crime
280,Movie 291: Horror Story (1991),01-Jan-1993,Horror|Thriller
281,Movie 292: Sci-Fi Story (1991),01-Jan-1993,Documentary|Drama|Fantasy
282,Movie 293: Documentary Story (1995),01-Jan-1996,Action|Thriller|Western
283,Movie 294: Action Story (1994),01-Jan-1992,Action|Crime|Drama
284,Movie 295: Animation Story (1997),01-Jan-1994,Fantasy|Film-Noir|Romance
285,Movie 296: Horror Story (1991),01-Jan-1996,Horror|Thriller
286,Movie 297: Animation Story (1991),01-Jan-1995,Documentary|Fantasy
287,Movie 298: Documentary Story (1994),01-Jan-1997,Mystery|War
288,Movie 299: Documentary Story (1995),01-Jan-1991,War
289,Movie 300: Comedy Story (1993),01-Jan-1995,Children|Film-Noir|Western
290,Movie 301: Thriller Story (1990),01-Jan-1997,Horror
291,Movie 302: Comedy Story (1994),01-Jan-1994,Fantasy|Horror|War
292,Movie 303: Comedy Story (1993),01-Jan-1994,Comedy
293,Movie 304: Romance Story (1996),01-Jan-1998,Adventure
294,Movie 305: Sci-Fi Story (1997),01-Jan-1996,Action|Comedy|Horror
295,Movie 306: Sci-Fi Story (1992),01-Jan-1997,Fantasy|Romance
296,Movie 307: Thriller Story (1995),01-Jan-1996,Adventure|Documentary
297,Movie 308: Comedy Story (1994),01-Jan-1995,Drama|Musical|Thriller
298,Movie 309: Animation Story (1992),01-Jan-1998,Crime|Western
299,Movie 310: Drama Story (1993),01-Jan-1994,Thriller
300,Movie 311: Horror Story (1997),01-Jan-1992,Horror|Thriller
301,Movie 312: Animation Story (1994),01-Jan-1994,Crime|Horror|Western
302,Movie 313: Sci-Fi Story (1993),01-Jan-1991,Musical
303,Movie 314: Thriller Story (1990),01-Jan-1993,Film-Noir|Horror|Romance
304,Movie 315: Sci-Fi Story (1990),01-Jan-1995,Film-Noir|Sci-Fi
305,Movie 316: Romance Story (1996),01-Jan-1991,Adventure|Animation
306,Movie 317: Thriller Story (1991),01-Jan-1997,War
307,Movie 318: Thriller Story (1995),01-Jan-1991,Film-Noir|Mystery|War
308,Movie 319: Horror Story (1997),01-Jan-1996,Horror|Thriller
309,Movie 320: Drama Story (1997),01-Jan-1990,Comedy
310,Movie 321: Drama Story (1994),01-Jan-1993,Romance|Sci-Fi
311,Movie 322: Animation Story (1993),01-Jan-1992,Animation|Crime
312,Movie 323: Romance Story (1998),01-Jan-1997,Crime|Horror
313,Movie 324: Documentary Story (1996),01-Jan-1990,Sci-Fi
314,Movie 325: Sci-Fi Story (1996),01-Jan-1994,Crime
315,Movie 326: Drama Story (1993),01-Jan-1992,Animation|Comedy
316,Movie 327: Mystery Story (1998),01-Jan-1996,Mystery|Romance|Western
317,Movie 328: Action Story (1991),01-Jan-1997,Action|Adventure
318,Movie 329: Drama Story (1991),01-Jan-1998,Musical
319,Movie 330: Horror Story (1992),01-Jan-1990,Horror|Thriller
320,Movie 331: Horror Story (1991),01-Jan-1995,Horror|Thriller
321,Movie 332: Documentary Story (1996),01-Jan-1998,Action
322,Movie 333: Animation Story (1997),01-Jan-1990,Drama|Musical|Western
323,Movie 334: Animation Story (1994),01-Jan-1994,Children
324,Movie 335: Comedy Story (1990),01-Jan-1996,Animation|Crime|Film-Noir
325,Movie 336: Romance Story (1998),01-Jan-1990,Film-Noir|Sci-Fi
326,Movie 337: Comedy Story (1995),01-Jan-1998,Horror|Romance|War
327,Movie 338: Horror Story (1994),01-Jan-1992,Horror|Thriller
328,Movie 339: Mystery Story (1992),01-Jan-1995,Documentary|Musical
329,Movie 340: Romance Story (1990),01-Jan-1992,Action|Drama
330,Movie 341: Drama Story (1998),01-Jan-1993,Action|Comedy|Documentary
331,Movie 342: Comedy Story (1998),01-Jan-1998,Children
332,Movie 343: Animation Story (1994),01-Jan-1995,Adventure|Fantasy|Mystery
333,Movie 344: Drama Story (1993),01-Jan-1998,Adventure|Children|Western
334,Movie 345: Drama Story (1995),01-Jan-1990,Children
335,Movie 346: Animation Story (1998),01-Jan-1996,Children|Mystery
336,Movie 347: Documentary Story (1990),01-Jan-1998,Comedy|Thriller
337,Movie 348: Mystery Story (1995),01-Jan-1993,Action|Film-Noir|Romance
338,Movie 349: Comedy Story (1990),01-Jan-1991,Comedy|Fantasy|War
339,Movie 350: Romance Story (1995),01-Jan-1996,War
340,Movie 351: Action Story (1993),01-Jan-1991,Children|Western
341,Movie 352: Documentary Story (1993),01-Jan-1997,Documentary
342,Movie 353: Comedy Story (1991),01-Jan-1994,Documentary|Musical|Romance
343,Movie 354: Comedy Story (1997),01-Jan-1994,Adventure
344,Movie 355: Drama Story (1998),01-Jan-1998,Documentary|Thriller
345,Movie 356: Mystery Story (1992),01-Jan-1995,Action
346,Movie 357: Drama Story (1998),01-Jan-1990,Animation|Children|Thriller
347,Movie 358: Animation Story (1994),01-Jan-1992,War
348,Movie 359: Thriller Story (1996),01-Jan-1991,Children|Drama|Fantasy
349,Movie 360: Thriller Story (1998),01-Jan-1997,Fantasy|Sci-Fi
350,Movie 361: Horror Story (1994),01-Jan-1990,Horror|Thriller
351,Movie 362: Mystery Story (1995),01-Jan-1991,Adventure
352,Movie 363: Mystery Story (1998),01-Jan-1994,Horror|Romance
353,Movie 364: Thriller Story (1991),01-Jan-1991,Adventure
354,Movie 365: Comedy Story (1993),01-Jan-1990,Crime
355,Movie 366: Action Story (1995),01-Jan-1995,Fantasy|Sci-Fi
356,Movie 367: Thriller Story (1998),01-Jan-1991,Crime|Horror
357,Movie 368: Action Story (1993),01-Jan-1991,Mystery|Sci-Fi
358,Movie 369: Action Story (1991),01-Jan-1994,Romance|Thriller
359,Movie 370: Comedy Story (1993),01-Jan-1992,Comedy
360,Movie 371: Sci-Fi Story (1990),01-Jan-1990,Children
361,Movie 372: Animation Story (1991),01-Jan-1996,Crime|Sci-Fi|Thriller
362,Movie 373: Romance Story (1993),01-Jan-1996,Action|Comedy
363,Movie 374: Thriller Story (1997),01-Jan-1997,Children|Romance
364,Movie 375: Drama Story (1998),01-Jan-1997,Animation
365,Movie 376: Thriller Story (1997),01-Jan-1994,Action|Drama|Horror
366,Movie 377: Horror Story (1997),01-Jan-1995,Horror|Thriller
367,Movie 378: Comedy Story (1993),01-Jan-1998,Children|Drama|Romance
368,Movie 379: Horror Story (1991),01-Jan-1997,Horror|Thriller
369,Movie 380: Horror Story (1995),01-Jan-1995,Horror|Thriller
370,Movie 381: Mystery Story (1996),01-Jan-1996,Western
371,Movie 382: Comedy Story (1990),01-Jan-1990,Crime
372,Movie 383: Horror Story (1990),01-Jan-1998,Horror|Thriller
373,Movie 384: Comedy Story (1995),01-Jan-1997,Animation|Crime
374,Movie 385: Thriller Story (1993),01-Jan-1997,Drama|Horror
375,Movie 386: Animation Story (1993),01-Jan-1994,War
376,Movie 387: Drama Story (1997),01-Jan-1993,Drama|Mystery|Western
377,Movie 388: Drama Story (1996),01-Jan-1991,Sci-Fi|Western
378,Movie 389: Mystery Story (1994),01-Jan-1991,Horror|Sci-Fi
379,Movie 390: Comedy Story (1993),01-Jan-1991,Action|Children
380,Movie 391: Animation Story (1997),01-Jan-1996,Action|Adventure
381,Movie 392: Action Story (1991),01-Jan-1991,Documentary|Film-Noir|War
382,Movie 393: Action Story (1998),01-Jan-1997,Adventure|Musical
383,Movie 394: Thriller Story (1991),01-Jan-1993,Horror|Thriller
384,Movie 395: Horror Story (1992),01-Jan-1995,Horror|Thriller
385,Movie 396: Mystery Story (1997),01-Jan-1997,Children
386,Movie 397: Horror Story (1993),01-Jan-1993,Horror|Thriller
387,Movie 398: Drama Story (1990),01-Jan-1990,Film-Noir|Musical
388,Movie 399: Action Story (1996),01-Jan-1998,Adventure|Children|Musical
389,Movie 400: Romance Story (1996),01-Jan-1992,Comedy|Romance
390,Movie 401: Romance Story (1997),01-Jan-1991,Documentary|Western
391,Movie 402: Animation Story (1996),01-Jan-1991,Documentary|Sci-Fi
392,Movie 403: Drama Story (1997),01-Jan-1993,Children|Horror|Romance
393,Movie 404: Romance Story (1993),01-Jan-1990,Children|Sci-Fi|War
394,Movie 405: Action Story (1993),01-Jan-1998,Thriller
395,Movie 406: Action Story (1998),01-Jan-1990,Adventure|Romance|Thriller
396,Movie 407: Action Story (1995),01-Jan-1998,Crime
397,Movie 408: Documentary Story (1990),01-Jan-1992,Mystery
398,Movie 409: Animation Story (1997),01-Jan-1995,Drama|Mystery|Romance
399,Movie 410: Drama Story (1998),01-Jan-1994,Film-Noir|Horror
400,Movie 411: Animation Story (1990),01-Jan-1997,Comedy
401,Movie 412: Drama Story (1991),01-Jan-1996,Film-Noir|Horror|War
402,Movie 413: Documentary Story (1991),01-Jan-1998,Documentary|War|Western
403,Movie 414: Thriller Story (1991),01-Jan-1994,Comedy|Crime|Musical
404,Movie 415: Comedy Story (1996),01-Jan-1998,Children|Horror|Musical
405,Movie 416: Documentary Story (1993),01-Jan-1998,Film-Noir|Romance
406,Movie 417: Documentary Story (1990),01-Jan-1996,War
407,Movie 418: Horror Story (1991),01-Jan-1991,Horror|Thriller
408,Movie 419: Sci-Fi Story (1998),01-Jan-1990,Adventure|Comedy
409,Movie 420: Thriller Story (1994),01-Jan-1990,Fantasy
410,Movie 421: Thriller Story (1995),01-Jan-1992,Comedy|Fantasy
411,Movie 422: Horror Story (1994),01-Jan-1990,Horror|Thriller
412,Movie 423: Romance Story (1992),01-Jan-1994,Western
413,Movie 424: Sci-Fi Story (1997),01-Jan-1990,Children|Sci-Fi
414,Movie 425: Action Story (1991),01-Jan-1998,Western
415,Movie 426: Documentary Story (1997),01-Jan-1996,War
416,Movie 427: Comedy Story (1991),01-Jan-1994,Adventure|Mystery|War
417,Movie 428: Thriller Story (1998),01-Jan-1996,Action|Adventure|Horror
418,Movie 429: Romance Story (1998),01-Jan-1994,Sci-Fi
419,Movie 430: Sci-Fi Story (1992),01-Jan-1993,Documentary|Musical|War
420,Movie 431: Thriller Story (1991),01-Jan-1994,Animation|Crime
421,Movie 432: Romance Story (1995),01-Jan-1992,War
422,Movie 433: Mystery Story (1992),01-Jan-1991,Adventure|Romance
423,Movie 434: Romance Story (1998),01-Jan-1994,Comedy|Crime|Fantasy
